# Measured G1 fall: two deliberate falls, peak tilt 81.15 deg, yaw spun at 0.7 rad/s to exercise yaw invariance.
t_s,qw,qx,qy,qz
3.9227,0.196378625,0.008512952,0.042464105,0.979571215
3.9457,0.188497056,0.007930688,0.041281187,0.981173699
3.9664,0.181393758,0.007385415,0.040005117,0.982568751
3.9868,0.174383278,0.006858701,0.038697688,0.983893246
4.0078,0.167158038,0.006288482,0.037063697,0.985213138
4.0289,0.159888854,0.005711270,0.035237650,0.986489353
4.0490,0.152954418,0.005191747,0.033523930,0.987650818
4.0699,0.145734268,0.004690385,0.031824060,0.988800664
4.0917,0.138191339,0.004263289,0.030539815,0.989925400
4.1157,0.129875733,0.003854508,0.029413892,0.991086404
4.1365,0.122663516,0.003424053,0.027692438,0.992055980
4.1573,0.115441021,0.003116786,0.026808540,0.992947611
4.1776,0.108385629,0.002838840,0.026028702,0.993764058
4.1986,0.101080605,0.002571066,0.025297261,0.994553241
4.2191,0.093943680,0.002325793,0.024640209,0.995269831
4.2398,0.086732117,0.002083184,0.023921141,0.995942257
4.2606,0.079480276,0.001875000,0.023509541,0.996557410
4.2808,0.072432834,0.001702294,0.023433456,0.997096515
4.3019,0.065066644,0.001559060,0.023903308,0.997593371
4.3226,0.057836385,0.001429298,0.024663860,0.998020342
4.3445,0.050184471,0.001259698,0.025061817,0.998424678
4.3652,0.042948916,0.001106504,0.025730941,0.998745255
4.3860,0.035676013,0.000954335,0.026723457,0.999005590
4.4061,0.028646512,0.000792564,0.027645092,0.999206935
4.4265,0.021510886,0.000616540,0.028643387,0.999358023
4.4481,0.013954699,0.000416908,0.029859596,0.999456601
4.4684,0.006852961,0.000213070,0.031075961,0.999493510
4.4997,-0.004096433,-0.000133355,0.032536520,0.999462144
4.5206,-0.011406957,-0.000382563,0.033516694,0.999372987
4.5408,-0.018471623,-0.000636038,0.034406964,0.999236987
4.5616,-0.025744607,-0.000913598,0.035452864,0.999039276
4.5821,-0.032910867,-0.001198648,0.036377167,0.998795344
4.6023,-0.039970033,-0.001494835,0.037342849,0.998501714
4.6231,-0.047236337,-0.001809477,0.038236014,0.998150020
4.6441,-0.054569526,-0.002140084,0.039128960,0.997740703
4.6645,-0.061689852,-0.002472544,0.039971685,0.997291589
4.6957,-0.072572452,-0.003004764,0.041258934,0.996504847
4.7162,-0.079717835,-0.003362701,0.042010702,0.995926132
4.7373,-0.087067246,-0.003749750,0.042863701,0.995272795
4.7574,-0.094063942,-0.004115556,0.043516751,0.994606118
4.7774,-0.101021099,-0.004483636,0.044112235,0.993895742
4.8067,-0.111204554,-0.005012817,0.044751838,0.992776758
4.8275,-0.118424367,-0.005438409,0.045551209,0.991902808
4.8484,-0.125672648,-0.005863482,0.046235780,0.990976416
4.8689,-0.132775242,-0.006287534,0.046881965,0.990016810
4.8902,-0.140147806,-0.006726633,0.047467269,0.988969263
4.9103,-0.147099017,-0.007116496,0.047795532,0.987940698
4.9305,-0.154077275,-0.007509219,0.048096257,0.986858934
4.9512,-0.161220056,-0.007918400,0.048413054,0.985698518
4.9716,-0.168250588,-0.008327144,0.048725577,0.984504046
4.9922,-0.175340874,-0.008750308,0.049068415,0.983245290
5.0175,-0.184037508,-0.009244847,0.049311107,0.981637990
5.0385,-0.191241618,-0.009723020,0.049836346,0.980228772
5.0590,-0.198265670,-0.010162011,0.050168475,0.978810800
5.0801,-0.205484006,-0.010622420,0.050521052,0.977297862
5.1012,-0.212690618,-0.011093042,0.050889966,0.975730422
5.1220,-0.219783717,-0.011550303,0.051193808,0.974135977
5.1425,-0.226762552,-0.012009335,0.051504257,0.972513153
5.1626,-0.233593944,-0.012456575,0.051772651,0.970875015
5.1894,-0.242685431,-0.013034412,0.052023769,0.968621398
5.2103,-0.249759516,-0.013504195,0.052273793,0.966801568
5.2318,-0.257023795,-0.013965802,0.052428354,0.964880818
5.2544,-0.264644986,-0.014434345,0.052513695,0.962806831
5.2759,-0.271878871,-0.014895529,0.052638354,0.960775315
5.2964,-0.278761551,-0.015342152,0.052768586,0.958786781
5.3167,-0.285562426,-0.015793938,0.052917081,0.956767702
5.3371,-0.292381720,-0.016254792,0.053075399,0.954689328
5.3601,-0.300051000,-0.016796468,0.053307653,0.952284395
5.3826,-0.307532694,-0.017361202,0.053623007,0.949866729
5.4029,-0.314265067,-0.017894513,0.053958928,0.947631620
5.4238,-0.321177246,-0.018485781,0.054406508,0.945274238
5.4447,-0.328069196,-0.019126336,0.054968402,0.942859089
5.4649,-0.334709871,-0.019805410,0.055649257,0.940468079
5.4854,-0.341429217,-0.020536406,0.056418431,0.937987903
5.5060,-0.348160260,-0.021319401,0.057281177,0.935440422
5.5265,-0.354829428,-0.022272682,0.058553829,0.932829810
5.5477,-0.361710576,-0.023188870,0.059627223,0.930092646
5.5688,-0.368533158,-0.024187238,0.060860044,0.927304882
5.5908,-0.375618776,-0.025310424,0.062284553,0.924332490
5.6112,-0.382170289,-0.026321144,0.063468638,0.921533938
5.6320,-0.388821594,-0.027460821,0.064877922,0.918615549
5.6522,-0.395257858,-0.028598367,0.066256530,0.915731091
5.6732,-0.401926367,-0.029785762,0.067636786,0.912684649
5.6937,-0.408423411,-0.030819193,0.068643926,0.909685938
5.7140,-0.414835746,-0.031840486,0.069591122,0.906672247
5.7356,-0.421636749,-0.032902174,0.070497942,0.903421241
5.7589,-0.428943015,-0.034073062,0.071479860,0.899854180
5.7811,-0.435854168,-0.035468832,0.072943359,0.896355048
5.8016,-0.442205896,-0.036822190,0.074365058,0.893066577
5.8223,-0.448594975,-0.038185674,0.075733910,0.889701510
5.8426,-0.454840484,-0.039472237,0.076921166,0.886366296
5.8633,-0.461181459,-0.040812936,0.078134970,0.882916130
5.8958,-0.471096297,-0.042795194,0.079707254,0.877430113
5.9164,-0.477356492,-0.043957001,0.080473528,0.873912223
5.9373,-0.483696140,-0.044978848,0.080931391,0.870324685
5.9583,-0.490048141,-0.045912462,0.081199917,0.866689932
